PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,10/3/21,14:28:18,1,1,"Boswell, Zach",1000113022,Right,VCU_RAM,"O'Bryan, Scott",1000113020,Right,VCU_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Undefined,Undefined,1,0,,85.16412,-0.633916,-1.881126,1963.016672,202.065317,12:45,5.62385,1.71469,5.37101,-24.78336,14.36209,5.33551,2.96389,0.39502,78.14717,-5.22815,-0.933223,0.450311,62.08291,-42.582637,67.704058,,,,,4.92445,,31.574517,0.049115,-3.20693,7.75292,-1.55005,50,5.54968,3.83683,-123.63123,-2.20482,-4.98154,23.80657,-20.13088,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,67246073-4a64-4a8f-b479-32328462bf94,83.70321,2.66476,,7.01695,,,,2.94616,3.02607,-0.46817,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,18:28:18,2021-10-03T14:28:17.6480000-04:00,2021-10-03T18:28:17.6480000Z,GroundBall,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,c6e01bf4-7941-44e8-8ba1-4bd1c723dea0,55.12757,-124.6147,11.90329,5.62358,-1.37321,-10.06544,-1.71281,4.04262,-2.49077,,2.94616,25.4358,,,,,,,,3.02607,-61.61249,,,,,,,,-0.46817,62.03142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,10/3/21,14:28:47,2,1,"Boswell, Zach",1000113022,Right,VCU_RAM,"Barnett, Devan",1000069431,Left,VCU_RAM,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.14067,-0.937277,-2.495437,1953.281291,230.167724,1:45,5.4774,1.68088,5.49673,-35.15549,13.48154,14.40883,1.67017,0.546,70.32566,-7.403694,0.071538,0.501944,,,,,,,,,,,,-7.93189,7.49622,-1.47266,50,5.37168,4.27845,-110.53149,-2.88783,-9.88252,18.3884,-22.8343,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,be794710-2477-11ec-8991-0d548696f4f1,75.09296,,,5.81501,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,18:28:47,2021-10-03T14:28:46.8650000-04:00,2021-10-03T18:28:46.8650000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,7ccd41de-a8c8-407a-bd05-234df00f262a,55.00161,-111.36047,9.1942,5.47866,-1.85843,-11.41715,-1.67558,4.72397,-4.94126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.23031,,0.84137,,0.9643,1.61115,-0.54665,-1.16952,5.56674,-0.62071,,,,-1.10258,117.61525,-10.86111,5.58761,7.1419,-12.71644,-0.68535,-8.62888,6.53162,High,High,High,,,High,High,High
3,10/3/21,14:29:26,2,2,"Boswell, Zach",1000113022,Right,VCU_RAM,"Barnett, Devan",1000069431,Left,VCU_RAM,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.82084,1.969654,-0.921915,2024.965221,206.367555,1:00,6.03164,1.58052,5.07248,-21.92489,16.30773,7.49622,6.06246,1.33598,79.09137,-2.114617,0.402301,0.445029,,,,,,,,,,,,-3.94107,7.89457,-1.49916,50,6.20169,1.67812,-125.87069,3.57255,-6.33284,25.16387,-19.4883,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,d6087770-2477-11ec-8991-0d548696f4f1,84.69657,,,7.72947,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,18:29:26,2021-10-03T14:29:26.3590000-04:00,2021-10-03T18:29:26.3590000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,1128e267-9ac6-4248-8e4a-7cbfca13d91a,55.4225,-126.95012,12.58193,6.03052,4.40852,-9.74415,-1.57698,1.94977,-3.16642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,10/3/21,14:29:50,2,3,"Boswell, Zach",1000113022,Right,VCU_RAM,"Barnett, Devan",1000069431,Left,VCU_RAM,Undefined,1,Top,0,2,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,1,1,,77.5698,-1.589287,-0.4412,2077.991372,44.57396,7:30,5.96667,1.27076,5.30569,-53.63574,-6.25689,-7.56563,0.00474,0.22613,72.05487,-11.236513,-1.790601,0.495409,,,,,,,,,,,,3.71095,-2.36221,-1.22492,50,5.78285,1.15579,-112.66557,-4.96033,4.77103,20.42316,-35.21104,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,e418a010-2477-11ec-8991-0d548696f4f1,76.08351,,,5.51493,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,18:29:50,2021-10-03T14:29:50.0290000-04:00,2021-10-03T18:29:50.0290000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,d131f4bd-0208-438d-9579-5cef8ac118dd,55.19577,-113.60351,10.21158,5.97352,-3.34324,-17.60552,-1.27297,0.93668,2.38551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,10/3/21,14:30:34,2,4,"Boswell, Zach",1000113022,Right,VCU_RAM,"Barber, Aaron",1000113010,Left,VCU_RAM,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,1,0,,86.71592,-0.517458,-1.04252,2017.198561,203.772467,12:45,5.84993,1.36373,5.34529,-22.03922,15.92784,6.47693,3.52785,0.92548,79.0994,-4.633133,0.108172,0.443481,,,,,,,,,,,,-3.52662,8.49422,-1.27456,50,5.7879,2.0016,-125.82046,-1.87151,-5.64743,25.77427,-18.5716,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,fe551620-2477-11ec-8991-0d548696f4f1,84.99224,,,7.61652,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,18:30:34,2021-10-03T14:30:34.0530000-04:00,2021-10-03T18:30:34.0530000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,ca8faf73-af4c-4c63-a42b-3b0f78a6e498,55.15037,-126.87113,12.88714,5.84876,-1.11446,-9.2858,-1.36085,2.23181,-2.82372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,10/3/21,14:31:10,3,1,"Boswell, Zach",1000113022,Right,VCU_RAM,"Barber, Aaron",1000113010,Left,VCU_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.25982,0.60857,-0.27641,1920.036478,202.672701,12:45,5.72785,1.75391,5.05075,-24.50907,14.90398,5.73803,4.25943,1.97138,78.26765,-3.917645,0.737352,0.451847,,,,,,,,,,,,-2.8991,7.59197,-1.73228,50,5.76666,0.33751,-123.76437,0.45039,-4.52917,23.02942,-20.31329,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,13acf420-2478-11ec-8991-0d548696f4f1,83.41858,,,6.99217,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,18:31:10,2021-10-03T14:31:09.8720000-04:00,2021-10-03T18:31:09.8720000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,44d40946-c4e3-4838-b533-17189bfb17e4,55.44513,-124.77346,11.51471,5.72743,1.34046,-10.15665,-1.75142,0.53596,-2.26459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,10/3/21,14:31:30,3,2,"Boswell, Zach",1000113022,Right,VCU_RAM,"Barber, Aaron",1000113010,Left,VCU_RAM,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Error,1,0,,85.09091,-1.82137,-2.338798,1977.082952,215.878212,1:15,5.86253,1.2821,5.25849,-23.30237,15.98143,10.70843,2.20745,-0.0241,78.4245,-6.1273,-0.440344,0.451105,62.65343,0.127145,-1.740366,3727.917716,,,,36.39837,,-2.701943,0.368061,-6.02221,8.83926,-1.07626,50,5.67861,4.59387,-123.48085,-4.72205,-9.36875,22.83813,-18.42281,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,1fa38b90-2478-11ec-8991-0d548696f4f1,83.55572,2.50339,,6.66641,,,,3.97448,2.50339,0.01911,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,18:31:30,2021-10-03T14:31:29.9010000-04:00,2021-10-03T18:31:29.9010000Z,GroundBall,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,5887b859-4963-424c-8354-15dfa0c31b02,55.24122,-124.44645,11.41907,5.86179,-3.94313,-9.21141,-1.27887,4.98999,-4.68437,58.743941,3.97621,91.78593,-10.35525,,,,,,,2.50753,0.05418,-18.68675,,,,,,,0.02174,-2.8862,-5.00324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,10/3/21,14:32:12,4,1,"Boswell, Zach",1000113022,Right,VCU_RAM,"Hujsak, Connor",1000113077,Right,VCU_RAM,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.66448,1.784747,-0.509236,1958.683276,32.937751,7:00,6.07708,1.05893,5.04086,-58.90653,-6.18776,-4.97768,2.8524,0.16374,68.34822,-8.826336,-1.389917,0.522582,,,,,,,,,,,,2.34008,-3.05772,-1.0062,50,6.19986,1.14208,-107.00617,1.32906,2.73514,17.07028,-35.74796,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,389a6240-2478-11ec-8991-0d548696f4f1,72.12739,,,5.31625,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,18:32:12,2021-10-03T14:32:11.8010000-04:00,2021-10-03T18:32:11.8010000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,d8e341b6-7b34-4225-9942-709a15410c25,55.46035,-107.87372,8.53514,6.08614,3.14586,-17.87398,-1.06071,1.00307,1.36757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,10/3/21,14:32:31,4,2,"Boswell, Zach",1000113022,Right,VCU_RAM,"Hujsak, Connor",1000113077,Right,VCU_RAM,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.4867,0.013792,-2.52239,2022.829605,180.485968,12:00,6.07272,1.11207,5.52593,-18.47536,18.72595,0.14846,4.54602,-1.23514,79.51272,-3.48495,-2.495975,0.438986,,,,,,,,,,,,-0.80177,9.78493,-0.8928,50,6.06182,5.58022,-126.82223,-0.53005,-1.30117,26.80052,-16.29456,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,43f44480-2478-11ec-8991-0d548696f4f1,85.86252,,,7.97398,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,18:32:31,2021-10-03T14:32:30.8050000-04:00,2021-10-03T18:32:30.8050000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,3fbdfbe4-b47c-4a82-acaa-e318d6e437a0,54.96834,-127.86785,13.40026,6.0701,0.10568,-8.14728,-1.1115,5.63099,-0.65058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,10/3/21,14:32:51,4,3,"Boswell, Zach",1000113022,Right,VCU_RAM,"Hujsak, Connor",1000113077,Right,VCU_RAM,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.20956,4.728753,0.266865,1835.365916,53.844569,7:45,5.79172,1.32465,5.13422,-64.89122,-7.90075,-13.24205,4.84732,0.47245,65.08665,-7.029695,-2.073285,0.543341,,,,,,,,,,,,6.60756,-4.63559,-1.33907,50,6.1858,0.02023,-103.07721,6.40216,7.10488,17.22473,-37.15856,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,4feadbf0-2478-11ec-8991-0d548696f4f1,69.37161,,,6.12291,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,18:32:51,2021-10-03T14:32:50.8410000-04:00,2021-10-03T18:32:50.8410000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,ef519de1-b8ac-4033-ad9f-88e9d8742225,55.3666,-103.97013,8.61237,5.80399,8.32844,-18.57928,-1.33057,-0.34808,3.55244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
