year,tournament,Major,tournament_id,NielsenRating,FinalRoundAvgViewers,LeaderMarginEnteringFinalRound,LeaderMarginEnd,Playoff,TigerMakeCut,TigerTop10,PhilTop10,RoryTop10,SpiethTop10,BrysonTop10,ThomasTop10,StarTop10Count
2022,Masters Tournament,1,9991,5.5,10.173,3,3,0,0,0,0,1,0,0,1,2
2022,PGA Championship,1,9992,3.1,5.27,3,0,1,1,0,0,1,0,0,1,2
2022,U.S Open,1,9993,2.9,5.27,0,1,0,0,0,0,1,0,0,0,1
2022,Open Championship,1,9994,2.7,4.72,0,1,0,0,0,0,1,1,1,0,3
2022,Memorial,0,9995,1.4,2.32,0,4,0,0,0,0,0,0,0,0,0
2022,WGC St. Jude Invitational,0,9996,1.8,2.6,1,0,1,0,0,0,0,0,0,0,0
2022,Arnold Palmer,0,9997,1.7,2.825,1,1,0,0,0,0,0,0,0,0,0
2022,Genesis Invitational,0,9998,1.57,2.6,3,2,0,0,0,0,0,0,0,1,1
2022,Farmers Insurance Open,0,8991,,2.6,0,0,1,0,0,0,0,0,0,0,0
2021,Masters Tournament,1,9991,5.5,9.5,4,1,0,0,0,0,0,1,0,0,1
2021,PGA Championship,1,9992,3.9,6.6,1,1,0,0,0,1,0,0,0,0,1
2021,U.S Open,1,9993,2,3.2,0,1,0,0,0,0,1,0,0,0,1
2021,Open Championship,1,9994,2.5,4.1,1,2,0,0,0,0,0,1,0,0,1
2021,Memorial,0,9995,1.6,2.82,2,0,1,0,0,0,0,0,0,0,0
2021,Arnold Palmer,0,9997,2.4,3.86,1,1,0,0,0,0,0,1,1,0,2
2021,Genesis Invitational,0,9998,2.24,3.6,2,0,1,0,0,0,0,0,0,0,0
2021,Farmers Insurance Open,0,8991,,3.122,3,5,0,0,0,0,0,0,0,0,0
2020,Masters Tournament,1,9991,3.4,5.6,4,5,0,1,0,0,1,0,0,1,2
2020,PGA Championship,1,9992,3.3,5.2,1,2,0,1,0,0,0,0,1,0,1
2020,U.S Open,1,9993,2,3.2,2,6,0,0,0,0,0,0,1,1,2
2020,Memorial,0,9995,2.1,3.23,2,3,0,1,0,0,0,0,0,0,0
2020,Arnold Palmer,0,9997,1.7,2.59,2,1,0,0,0,0,1,0,1,0,2
2020,Genesis Invitational,0,9998,,3.05,0,2,0,1,0,0,1,0,1,0,2
2020,Quicken Loans / Rocket,0,9999,,2.893,3,3,0,0,0,0,0,0,1,0,1
2020,Farmers Insurance Open,0,8991,,3.248,3,1,0,1,1,0,1,0,0,0,2
2019,Masters Tournament,1,9991,6.9,10.8,2,1,0,1,1,0,0,0,0,0,1
2019,PGA Championship,1,9992,3.3,5,7,2,0,0,0,0,1,1,0,0,2
2019,U.S Open,1,9993,4.4,7.3,1,3,0,1,0,0,1,0,0,0,1
2019,Open Championship,1,9994,2.5,3.7,4,6,0,0,0,0,0,0,0,0,0
2019,Memorial,0,9995,2.1,2.96,2,2,0,1,1,0,0,1,0,0,2
2019,WGC St. Jude Invitational,0,9996,1.6,2.3,1,3,0,0,0,0,1,0,0,0,1
2019,Arnold Palmer,0,9997,,3.068,3,2,0,0,0,0,1,0,0,0,1
2019,Genesis Invitational,0,9998,,4.06,4,1,0,1,1,0,1,0,0,1,3
2019,Quicken Loans / Rocket,0,9999,,1.85,10,6,0,0,0,0,0,0,0,0,0
2019,Farmers Insurance Open,0,8991,,3.04,3,2,0,1,0,0,0,0,1,0,0
2018,Masters Tournament,1,9991,7.9,13,3,1,0,1,0,0,1,0,0,0,1
2018,PGA Championship,1,9992,5.4,8.5,2,2,0,1,1,0,0,0,0,1,2
2018,U.S Open,1,9993,3.2,5.1,0,1,0,0,0,0,0,0,0,0,0
2018,Open Championship,1,9994,4.3,6.5,1,2,0,1,1,0,1,1,0,0,3
2018,Memorial,0,9995,1.6,2.3,1,0,1,1,0,0,1,0,1,0,2
2018,WGC St. Jude Invitational,0,9996,2.3,2.6,5,4,0,1,0,0,1,0,0,1,2
2018,Arnold Palmer,0,9997,,4.956,1,3,0,1,1,0,1,0,1,0,3
2018,Genesis Invitational,0,9998,,3,1,2,0,0,0,1,0,0,0,0,1
2018,Quicken Loans / Rocket,0,9999,,3.6,0,8,0,1,1,0,0,0,0,0,1
2018,Farmers Insurance Open,0,8991,,4.062,1,0,1,1,0,0,0,0,0,0,0
